Campus,Building_Name,Building_SA_Id,Room_SA_Id,Room,Room_No,Secondary_Unit,Main_Space_Use_Code,SumOfWRH,orig_Name_of_Type,Booking_Type_Summary,Seat_Fill,WSCH,WSCH_Capacity,B_Seats,SumOfB_WSCH,AvgOfB_Students,Seat_Fill_Rate,NASM
Strand,169-171 Strand (North Wing),169-171 Strand (North Wing),169-171 Strand (North Wing) NW B7,B7,B7,Classics,110,162.5,Booking,Booking,0,0,0,16,0,0,0,0
Strand,169-171 Strand (North Wing),169-171 Strand (North Wing),169-171 Strand (North Wing) NW D3,D3,D3,Classics,110,162.5,Booking,Booking,0,0,0,16,0,0,0,0
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.02,(S) 4.02,(S) 4.02,Academic Services - Centrally Bookable Room,210,24.25,Booking,Booking,3.581822958,1136.333333,317.25,54,0,0,0,0
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.02,(S) 4.02,(S) 4.02,Academic Services - Centrally Bookable Room,210,2.583333333,Practical,Practical,3.581822958,1136.333333,317.25,54,129.1666667,50,0.925925926,259.625
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.02,(S) 4.02,(S) 4.02,Academic Services - Centrally Bookable Room,210,14.16666667,Tutorial,Tutorial,3.581822958,1136.333333,317.25,54,419.0833333,34.61627907,0.641042205,842.3575
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,23.04166667,Booking,Booking,4.856884058,670.25,138,16,25.5,3.793103448,0.237068966,26.01
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,1.666666667,EAP Class,Other,4.856884058,670.25,138,16,26.66666667,16,1,27.2
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,4.856884058,670.25,138,16,0.166666667,2,0.125,0.17
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,2.5,Online Live Seminar,Online,4.856884058,670.25,138,16,34.16666667,14,0.875,34.85
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,0.5,Online Live Tutorial,Online,4.856884058,670.25,138,16,7.5,15,0.9375,7.65
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,0.166666667,Online Live Workshop,Online,4.856884058,670.25,138,16,0.166666667,1,0.0625,0.17
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,16.08333333,Seminar,Lecture & Seminar,4.856884058,670.25,138,16,231.8333333,14.24539877,0.890337423,236.47
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 4.03,(S) 4.03,(S) 4.03,Academic Services - Centrally Bookable Room,110,2,Tutorial,Tutorial,4.856884058,670.25,138,16,27.33333333,13.66666667,0.854166667,27.88
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,17.45833333,Booking,Booking,3.453583062,706.8333333,204.6666667,16,38.75,2.895833333,0.180989583,39.525
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,0.125,Induction,Induction,3.453583062,706.8333333,204.6666667,16,1.875,15,0.9375,1.9125
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,2.5,Lecture,Lecture,3.453583062,706.8333333,204.6666667,16,40,16,1,40.8
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,3.453583062,706.8333333,204.6666667,16,0.166666667,2,0.125,0.17
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,2.583333333,Online Live Seminar,Online,3.453583062,706.8333333,204.6666667,16,33.75,13.06451613,0.816532258,34.425
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,0.166666667,Online Live Workshop,Online,3.453583062,706.8333333,204.6666667,16,0.166666667,1,0.0625,0.17
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,13.58333333,Seminar,Lecture & Seminar,3.453583062,706.8333333,204.6666667,16,214.6666667,15.65789474,0.978618421,218.96
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,3.25,Tutorial,Tutorial,3.453583062,706.8333333,204.6666667,16,49.83333333,15.33333333,0.958333333,50.83
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.04,(S) 1.04,(S) 1.04,Academic Services - Centrally Bookable Room,110,0.5,Workshop,Workshop,3.453583062,706.8333333,204.6666667,16,6,12,0.75,6.12
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,9,Booking,Booking,4.713522013,1249.083333,265,20,19,4.291666667,0.214583333,19.38
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,15,HyFlex,HyFlex,4.713522013,1249.083333,265,20,252.0833333,16.76870748,0.838435374,257.125
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,7.958333333,HyFlex Manual,HyFlex,4.713522013,1249.083333,265,20,130.75,16.07228916,0.803614458,133.365
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,0.125,Induction,Induction,4.713522013,1249.083333,265,20,1.875,15,0.75,1.9125
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,1,Lecture,Lecture,4.713522013,1249.083333,265,20,20,20,1,20.4
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,4.713522013,1249.083333,265,20,0.083333333,1,0.05,0.085
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,1.75,Online Live Seminar,Online,4.713522013,1249.083333,265,20,30.83333333,17.61904762,0.880952381,31.45
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,0.5,Online Live Tutorial,Online,4.713522013,1249.083333,265,20,9,18,0.9,9.18
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,0.333333333,Online Live Workshop,Online,4.713522013,1249.083333,265,20,1.333333333,3,0.15,1.36
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,6.5,Seminar,Lecture & Seminar,4.713522013,1249.083333,265,20,103.1666667,15.81818182,0.790909091,105.23
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.06,(S) 2.06,(S) 2.06,Academic Services - Centrally Bookable Room,110,2.916666667,Tutorial,Tutorial,4.713522013,1249.083333,265,20,57.16666667,19.53333333,0.976666667,58.31
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,14.66666667,Booking,Booking,4.41510574,1826.75,413.75,30,92.5,10.43478261,0.347826087,94.35
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,0.166666667,HyFlex,HyFlex,4.41510574,1826.75,413.75,30,2.5,15,0.5,2.55
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,0.125,Induction,Induction,4.41510574,1826.75,413.75,30,1.875,15,0.5,1.9125
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,0.083333333,Meeting,Meeting,4.41510574,1826.75,413.75,30,1.916666667,23,0.766666667,1.955
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,4.41510574,1826.75,413.75,30,0.083333333,1,0.033333333,0.085
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,0.916666667,Online Live Seminar,Online,4.41510574,1826.75,413.75,30,0,0,0,0
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,2.625,Online Live Tutorial,Online,4.41510574,1826.75,413.75,30,62.29166667,24.66666667,0.822222222,63.5375
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,5.75,Seminar,Lecture & Seminar,4.41510574,1826.75,413.75,30,104,18.71698113,0.623899371,106.08
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,22.41666667,Tutorial,Tutorial,4.41510574,1826.75,413.75,30,619.0833333,27.61710037,0.920570012,631.465
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.02,(S) 2.02,(S) 2.02,Academic Services - Centrally Bookable Room,110,0.25,Workshop,Workshop,4.41510574,1826.75,413.75,30,7.5,30,1,7.65
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,16.91666667,Booking,Booking,4.604543173,1528.708333,332,24,30,5.65625,0.235677083,30.6
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,3.333333333,Cover,Other,4.604543173,1528.708333,332,24,33.33333333,10,0.416666667,34
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,20.91666667,HyFlex,HyFlex,4.604543173,1528.708333,332,24,410.9166667,19.53080569,0.81378357,419.135
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,2.583333333,HyFlex Manual,HyFlex,4.604543173,1528.708333,332,24,43.5,16.83870968,0.701612903,44.37
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,0.125,Induction,Induction,4.604543173,1528.708333,332,24,1.875,15,0.625,1.9125
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,4.604543173,1528.708333,332,24,0.083333333,1,0.041666667,0.085
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,0.333333333,Online Live Workshop,Online,4.604543173,1528.708333,332,24,2.583333333,10.5,0.4375,2.635
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,4.416666667,Seminar,Lecture & Seminar,4.604543173,1528.708333,332,24,79.5,18,0.75,81.09
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.05,(S) 2.05,(S) 2.05,Academic Services - Centrally Bookable Room,110,5.166666667,Tutorial,Tutorial,4.604543173,1528.708333,332,24,110.3333333,21.35483871,0.889784946,112.54
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,13.20833333,Booking,Booking,1.99476257,476.0833333,238.6666667,16,43.08333333,6.853658537,0.428353659,43.945
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,0.166666667,Meeting,Meeting,1.99476257,476.0833333,238.6666667,16,1.833333333,11,0.6875,1.87
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,1.99476257,476.0833333,238.6666667,16,0.166666667,2,0.125,0.17
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,2.583333333,Online Live Seminar,Online,1.99476257,476.0833333,238.6666667,16,25.91666667,7.666666667,0.479166667,26.435
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,0.416666667,Online Live Workshop,Online,1.99476257,476.0833333,238.6666667,16,1.416666667,2.333333333,0.145833333,1.445
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,4,Seminar,Lecture & Seminar,1.99476257,476.0833333,238.6666667,16,43.25,10.8125,0.67578125,44.115
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,2.25,Tutorial,Tutorial,1.99476257,476.0833333,238.6666667,16,24.58333333,10.92592593,0.68287037,25.075
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,0.541666667,Workshop,Workshop,1.99476257,476.0833333,238.6666667,16,6.208333333,10.25,0.640625,6.3325
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.04,(S) 2.04,(S) 2.04,Academic Services - Centrally Bookable Room,110,7.041666667,WRB-ACTIVE,WRB,1.99476257,476.0833333,238.6666667,16,49.95833333,7.206896552,0.450431034,50.9575
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,20.54166667,Booking,Booking,4.348571429,2283,525,30,130.1666667,8.555555556,0.285185185,132.77
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,13.58333333,HyFlex,HyFlex,4.348571429,2283,525,30,261.3333333,19.26771654,0.642257218,266.56
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,6.166666667,HyFlex Manual,HyFlex,4.348571429,2283,525,30,132.6666667,20.67924528,0.689308176,135.32
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,0.125,Induction,Induction,4.348571429,2283,525,30,1.875,15,0.5,1.9125
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,0.083333333,Lecture,Lecture,4.348571429,2283,525,30,2.5,30,1,2.55
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,4.348571429,2283,525,30,0.083333333,1,0.033333333,0.085
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,0.916666667,Online Live Seminar,Online,4.348571429,2283,525,30,13.75,15,0.5,14.025
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,1.041666667,Online Live Tutorial,Online,4.348571429,2283,525,30,26.04166667,27.72727273,0.924242424,26.5625
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,0.25,Online Live Workshop,Online,4.348571429,2283,525,30,1.25,5,0.166666667,1.275
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,0.833333333,Oral,"Exam, Grammar & Text",4.348571429,2283,525,30,6.666666667,8,0.266666667,6.8
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,6.5,Seminar,Lecture & Seminar,4.348571429,2283,525,30,97.33333333,14.57142857,0.485714286,99.28
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,8.166666667,Tutorial,Tutorial,4.348571429,2283,525,30,224.1666667,27.44897959,0.914965986,228.65
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 2.01,(S) 2.01,(S) 2.01,Academic Services - Centrally Bookable Room,110,0.166666667,Workshop,Workshop,4.348571429,2283,525,30,4,24,0.8,4.08
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,15.25,Booking,Booking,2.406413302,422.125,175.4166667,10,26.95833333,2.757575758,0.275757576,27.4975
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,0.166666667,Meeting,Meeting,2.406413302,422.125,175.4166667,10,1.333333333,8,0.8,1.36
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,0.416666667,Office Hour,Other,2.406413302,422.125,175.4166667,10,0.416666667,1,0.1,0.425
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,0.083333333,Online Live Lecture,Online,2.406413302,422.125,175.4166667,10,0.166666667,2,0.2,0.17
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,0.916666667,Online Live Seminar,Online,2.406413302,422.125,175.4166667,10,0,0,0,0
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,0.416666667,Online Live Workshop,Online,2.406413302,422.125,175.4166667,10,1.416666667,2.333333333,0.233333333,1.445
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,5.25,Seminar,Lecture & Seminar,2.406413302,422.125,175.4166667,10,52.83333333,10.06349206,1.006349206,53.89
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,0.833333333,Temas,Other,2.406413302,422.125,175.4166667,10,7.5,9,0.9,7.65
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,3.833333333,Tutorial,Tutorial,2.406413302,422.125,175.4166667,10,40.16666667,10.47826087,1.047826087,40.97
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,1.041666667,Workshop,Workshop,2.406413302,422.125,175.4166667,10,12.20833333,11,1.1,12.4525
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,7.166666667,WRB-ACTIVE,WRB,2.406413302,422.125,175.4166667,10,48.58333333,6.6,0.66,49.555
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.03,(S) 1.03,(S) 1.03,Academic Services - Centrally Bookable Room,110,0.083333333,WRB-PROVISIONAL,WRB,2.406413302,422.125,175.4166667,10,0.833333333,10,1,0.85
Strand,Bush House - Centre Block,Bush House,Bush House - Centre Block (S) 1.02,(S) 1.02,(S) 1.02,Academic Services - Centrally Bookable Room,110,14.54166667,Booking,Booking,2.267567568,419.5,185,10,21.83333333,2.774193548,0.277419355,22.27
