Campus_Id,Building_SA_Id,Building_Name,Main_Space_Category,Main_Space_Use_Code,Room_SA_Id,Scheduled,Sum_of_WRH,WRH,Sum_of_B_WSCH,Sum_of_WSCH_Capacity,Seat_Fill_Rate,Seat_Fill_Rate_Pct,NASM_Per_Seat,NASM,Seats
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 4.02,TRUE,16.75,17,548.25,904.5,0.606135987,61%,3.6,195,54
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 6.01,TRUE,5.083333333,5,135.8333333,162.6666667,0.835040984,84%,3.8,121,32
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 7.01,TRUE,25,25,1296.666667,750,1.728888889,173%,2.8,85,30
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 7.02,TRUE,25,25,1296.666667,750,1.728888889,173%,2.8,83,30
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 7.03,TRUE,12.08333333,12,215,265.8333333,0.808777429,81%,3.4,74,22
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 6.03,TRUE,9.166666667,9,261.6666667,357.5,0.731934732,73%,3.8,149,39
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 6.02,TRUE,6.5,7,267.5,325,0.823076923,82%,3.2,161,50
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 7.06,TRUE,8.166666667,8,134.1666667,245,0.547619048,55%,4,120,30
Strand,Bush House,Bush House - Centre Block,Class Laboratories,210,Bush House - Centre Block (S) 4.01,TRUE,31,31,471.8333333,1116,0.422789725,42%,3.6,129,36
Strand,Bush House,Bush House - Centre Block,Classrooms,110,Bush House - Centre Block (S) 1.02,TRUE,23.08333333,23,141.25,230.8333333,0.611913357,61%,3.3,33,10
Strand,Bush House,Bush House - Centre Block,Classrooms,110,Bush House - Centre Block (S) 1.03,TRUE,20.20833333,20,165.4583333,202.0833333,0.818762887,82%,3.4,34,10
Strand,Bush House,Bush House - Centre Block,Classrooms,110,Bush House - Centre Block (S) 1.04,TRUE,22.79166667,23,346.4583333,364.6666667,0.950068556,95%,2.6,41,16
Strand,Bush House,Bush House - Centre Block,Classrooms,110,Bush House - Centre Block (S) 2.01,TRUE,37.91666667,38,771.6666667,1137.5,0.678388278,68%,1.7,52,30
